City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemp,Wind Speed
Mendoza,0,AR,1530324000,76,-32.89,-68.84,48.2,3.36
Russell,0,AR,1530324000,76,-33.01,-68.8,48.2,3.36
Northam,0,GB,1530323400,87,51.04,-4.21,62.6,3.36
Coquimbo,90,CL,1530324000,87,-29.95,-71.34,53.6,2.24
Muli,48,IN,1530325796,86,22.62,71.45,81.03,7.61
Sovetsk,8,RU,1530325797,76,55.08,21.89,55.02,14.99
Mirnyy,68,RU,1530325798,84,56.57,36.46,65.19,5.14
Ambilobe,0,MG,1530325799,76,-13.19,49.05,63.12,2.8
Talcahuano,75,CL,1530324000,100,-36.72,-73.12,51.8,4.7
Fortuna,20,ES,1530322200,83,38.18,-1.13,75.2,4.7
Turukhansk,0,RU,1530325803,69,65.8,87.96,65.64,17.0
Clyde River,90,CA,1530324000,94,70.47,-68.59,32.0,8.05
Lata,12,IN,1530325844,98,30.78,78.62,64.83,1.57
Kawalu,44,ID,1530325807,83,-7.38,108.21,72.39,2.91
Tokur,92,RU,1530325809,83,53.13,132.9,63.3,2.57
Luganville,32,VU,1530325810,100,-15.51,167.18,78.87,22.59
Amapa,75,HN,1530320400,94,15.09,-87.97,82.4,11.41
Sabang,12,PH,1530325814,91,13.72,123.58,85.17,6.15
Hobe Sound,40,US,1530323580,88,27.06,-80.14,78.8,4.7
Mayo,90,CA,1530324000,67,63.59,-135.9,60.8,2.24
Valverde del Camino,80,ES,1530325817,79,37.57,-6.75,62.4,2.91
Samarai,88,PG,1530325818,100,-10.62,150.67,76.26,13.87
Chipinge,0,ZW,1530325819,86,-20.19,32.62,45.48,3.58
Dudinka,0,RU,1530325821,71,69.41,86.18,53.4,11.07
Nogliki,12,RU,1530325822,91,51.8,143.14,49.35,11.63
Havoysund,75,NO,1530323400,87,71.0,24.66,42.8,14.99
Alakurtti,80,RU,1530325824,55,66.96,30.34,46.92,8.61
Vanavara,0,RU,1530325826,53,60.35,102.28,74.19,5.26
Saint-Augustin,0,FR,1530322200,64,44.83,-0.61,73.4,3.36
Darhan,20,MN,1530325829,61,49.49,105.92,75.54,9.73
Lekoni,20,GA,1530325830,97,-1.58,14.26,66.72,4.92
Kwinana,0,AU,1530324000,54,-32.25,115.77,57.2,8.05
Pilar,0,AR,1530324000,87,-34.46,-58.91,55.4,2.68
Bud,0,NO,1530323400,87,62.91,6.91,46.4,10.29
Aksarka,0,RU,1530325835,44,66.56,67.8,62.58,11.3
Touros,24,BR,1530325837,81,-5.2,-35.46,76.08,12.64
Tomatlan,80,MX,1530325838,89,19.93,-105.25,75.72,2.57
Isla Mujeres,40,MX,1530323160,94,21.23,-86.73,78.8,3.36
Altay,0,CN,1530325841,52,47.83,88.13,64.11,3.36
Zihuatanejo,75,MX,1530324420,78,17.64,-101.55,80.6,12.75
Husavik,92,CA,1530325844,94,50.56,-96.99,66.81,10.18
Svirstroy,76,RU,1530325845,83,60.8,33.72,51.78,10.74
West Plains,1,US,1530323580,78,36.73,-91.85,84.2,5.82
Kondinskoye,20,RU,1530325847,82,59.65,67.41,61.23,8.84
Caravelas,56,BR,1530325848,97,-17.73,-39.27,77.25,16.22
Prainha,0,BR,1530325850,84,-1.8,-53.48,77.43,3.58
Mount Isa,44,AU,1530324000,36,-20.73,139.49,77.0,10.29
Kachug,88,RU,1530325852,89,53.96,105.89,65.55,3.58
Cap Malheureux,75,MU,1530324000,88,-19.98,57.61,66.2,5.82
Taoudenni,0,ML,1530325854,14,22.68,-3.98,86.43,13.09
Babu,48,CN,1530325855,85,23.23,104.89,75.45,3.24
Honolulu,75,US,1530323820,51,21.3,-157.86,84.2,16.11
Netrakona,92,BD,1530325857,100,24.88,90.72,77.7,6.38
Yumen,80,CN,1530325859,47,40.29,97.04,80.49,6.38
Roald,0,NO,1530323400,93,62.58,6.12,46.4,14.99
Nueva Gerona,0,CU,1530325862,96,21.88,-82.8,81.3,7.38
Magadi,40,IN,1530324000,100,12.96,77.22,69.8,8.05
Srednekolymsk,76,RU,1530325864,48,67.46,153.71,51.06,3.13
Careiro da Varzea,0,BR,1530324000,78,-3.2,-59.81,80.6,5.7
Isangel,36,VU,1530325867,100,-19.55,169.27,74.28,23.6
Teavaro,20,PF,1530324000,62,-17.5,-149.77,84.2,11.41
Whitianga,0,NZ,1530325872,100,-36.83,175.7,55.02,8.28
Oistins,40,BB,1530324000,74,13.07,-59.53,80.6,24.16
Port-Gentil,36,GA,1530325874,98,-0.72,8.78,75.0,9.17
Pangnirtung,32,CA,1530325875,94,66.15,-65.72,29.28,3.13
Pingliang,0,CN,1530325876,84,35.54,106.68,72.93,3.8
Kamaishi,75,JP,1530324000,58,39.28,141.86,87.8,5.82
Yomou,92,GN,1530325880,99,7.57,-9.26,69.6,4.59
Kamphaeng Phet,32,TH,1530325881,79,16.47,99.53,86.16,4.14
Caronport,44,CA,1530325882,71,50.46,-105.81,62.76,1.12
Yuryev-Polskiy,36,RU,1530325883,57,56.5,39.68,68.79,5.26
Timra,12,SE,1530323400,66,62.49,17.33,48.2,11.41
San Pedro de Cajas,0,PE,1530325886,73,-11.25,-75.86,34.86,2.13
Taitung,40,TW,1530324000,62,22.76,121.15,89.6,8.05
Malmesbury,75,GB,1530325200,87,51.58,-2.1,57.2,8.05
Yashkul,0,RU,1530325889,33,46.17,45.34,80.22,6.71
Codrington,64,AU,1530325890,84,-28.95,153.24,67.08,3.58
Mana,75,RS,1530324000,93,43.52,20.24,64.4,1.12
Abong Mbang,80,CM,1530325893,97,3.98,13.18,67.44,3.13
Loei,40,TH,1530320400,83,17.49,101.72,80.6,2.24
Quatre Cocos,75,MU,1530324000,88,-20.21,57.76,66.2,5.82
Atar,0,MR,1530325896,35,20.52,-13.05,71.67,4.81
Mad,0,SK,1530324000,56,47.95,17.66,68.0,9.17
Trim,0,IE,1530324000,63,53.56,-6.79,60.8,4.7
Burnie,68,AU,1530325899,100,-41.05,145.91,52.23,25.39
Gazli,0,UZ,1530325901,23,40.13,63.45,85.89,4.36
Kathmandu,75,NP,1530323400,94,27.71,85.32,69.8,2.01
Mount Gambier,76,AU,1530325905,80,-37.83,140.78,52.14,7.16
Los Llanos de Aridane,20,ES,1530322200,72,28.66,-17.92,68.0,3.36
Chifeng,24,CN,1530325910,77,42.27,118.96,72.39,5.14
Nanakuli,1,US,1530323820,65,21.39,-158.15,84.2,12.75
Charters Towers,56,AU,1530325913,84,-20.07,146.27,71.76,8.5
Batouri,92,CM,1530325915,92,4.44,14.36,70.77,5.26
Chalchihuites,56,MX,1530325916,85,23.48,-103.88,59.52,2.01
Ampanihy,32,MG,1530325918,100,-24.69,44.75,57.99,3.91
Moussoro,64,TD,1530325920,86,13.64,16.49,73.92,14.65
Tornio,75,FI,1530325200,87,61.12,27.27,48.2,9.17
Waldoboro,1,US,1530323760,100,44.1,-69.38,69.8,4.47
Calvinia,8,ZA,1530325923,80,-31.47,19.78,30.99,2.46
Campbellsville,1,US,1530323760,83,37.34,-85.34,77.0,4.59
Damghan,0,IR,1530325926,32,36.17,54.34,71.67,1.01
Yarada,20,IN,1530325927,100,17.65,83.27,80.94,13.87
Ixtapa,90,MX,1530322980,100,20.71,-105.21,73.4,11.41
Shu,0,KZ,1530325929,32,43.6,73.76,83.82,4.36
Athabasca,32,CA,1530325931,60,54.72,-113.29,64.11,5.82
Erzin,0,TR,1530323400,53,36.95,36.2,77.0,13.87
Walvis Bay,0,NA,1530324000,93,-22.95,14.51,44.6,4.7
Maningrida,64,AU,1530325935,74,-12.05,134.23,81.48,15.43
Rognan,75,NO,1530323400,75,67.1,15.4,46.4,6.93
Banjar,56,ID,1530325937,74,-7.37,108.54,77.16,3.69
Valdivia,90,CL,1530324000,93,-39.81,-73.25,55.4,8.05
Celestun,0,MX,1530325940,95,20.87,-90.4,83.64,19.69
Tiznit,8,MA,1530325941,94,29.7,-9.73,62.4,4.03
Marzuq,32,YE,1530325942,70,14.4,46.47,61.68,2.35
Sungai Udang,75,MY,1530322200,70,5.16,100.43,84.2,2.24
Mehamn,92,NO,1530325944,100,71.03,27.85,41.61,18.12
Sao Gabriel da Cachoeira,80,BR,1530325945,96,-0.13,-67.09,72.93,1.68
Cabra,0,ES,1530322200,63,37.47,-4.43,69.8,5.82
Manokwari,44,ID,1530325948,100,-0.87,134.08,82.11,4.14
Lewistown,1,US,1530323700,94,40.39,-90.15,84.2,6.93
Resistencia,0,AR,1530324000,93,-27.45,-58.99,60.8,5.82
Itarantim,36,BR,1530325952,98,-15.65,-40.06,64.02,3.13
Zhangye,88,CN,1530325953,62,38.94,100.46,77.07,3.8
Hals,40,AT,1530323400,93,48.59,13.46,62.6,8.05
Weymouth,1,US,1530324900,88,42.22,-70.94,82.4,3.36
Sokoni,0,CD,1530325957,57,-12.89,28.78,54.57,7.16
Carberry,75,CA,1530324000,73,49.87,-99.36,71.6,5.82
Jeremie,68,HT,1530325959,100,18.65,-74.12,79.05,3.69
Huarmey,0,PE,1530325960,90,-10.07,-78.15,54.66,2.68
Saint-Medard-en-Jalles,0,FR,1530322200,64,44.9,-0.72,73.4,3.36
Paamiut,100,GL,1530325963,95,61.99,-49.67,40.17,9.62
Novikovo,0,UA,1530325964,100,45.05,34.56,63.84,2.35
Phoenix,20,US,1530323880,14,33.45,-112.08,102.2,12.75
Merauke,80,ID,1530325966,85,-8.49,140.4,82.02,13.53
Almaty,20,KZ,1530324000,50,43.24,76.95,77.0,3.36
Grosse Pointe Farms,1,CA,1530324960,55,42.41,-82.89,86.0,9.17
Isla Vista,1,US,1530323700,68,34.41,-119.86,68.0,8.05
Nsanje,20,MZ,1530325970,86,-16.92,35.26,57.54,2.57
Udachnyy,0,RU,1530325972,54,66.42,112.4,67.17,3.36
Coro,20,VE,1530324000,74,11.41,-69.67,80.6,9.28
Marsh Harbour,32,BS,1530325975,98,26.54,-77.06,83.01,11.97
Imeni Poliny Osipenko,12,RU,1530325977,89,52.42,136.49,65.1,3.58
Turochak,48,RU,1530325978,90,52.26,87.12,67.62,3.24
Gwanda,0,ZW,1530325979,75,-20.94,29.0,38.28,2.8
Ilebo,12,CD,1530325981,75,-4.33,20.59,70.5,2.35
Abu Dhabi,0,AE,1530324000,23,24.47,54.37,95.0,8.05
Vestmanna,8,FO,1530325200,93,62.16,-7.17,48.2,16.11
Flinders,40,AU,1530320400,41,-34.58,150.85,60.8,16.11
Iquitos,75,PE,1530324000,94,-3.75,-73.25,75.2,5.82
Suzun,20,RU,1530325986,92,53.78,82.32,69.33,5.82
Tanout,56,NE,1530325987,71,14.97,8.88,79.32,10.18
Simao,48,CN,1530325988,88,22.76,100.79,73.65,2.8
Ankang,100,CN,1530325990,100,32.73,108.99,66.45,2.46
Kodiak,1,US,1530323580,62,39.95,-94.76,87.8,11.41
Malanje,0,AO,1530325992,68,-9.54,16.35,52.41,4.59
Malko Tarnovo,0,TR,1530324000,93,41.98,27.52,64.4,4.7
Barcelos,75,PT,1530324000,93,41.53,-8.62,64.4,5.82
Chitral,0,PK,1530325995,54,35.85,71.79,44.67,1.34
Nemuro,20,JP,1530324000,77,43.32,145.57,69.8,6.93
Yatou,75,CM,1530324000,94,3.63,9.81,75.2,2.24
Thunder Bay,90,CA,1530324000,93,48.41,-89.26,66.2,5.82
Batagay,32,RU,1530326000,48,67.65,134.64,67.98,4.36
Richards Bay,0,ZA,1530326001,97,-28.77,32.06,51.42,2.68
Sobolevo,92,RU,1530326003,91,54.43,31.9,62.49,3.91
Qingdao,40,CN,1530324000,61,36.09,120.35,82.4,4.47
Belogorsk,0,UA,1530326006,100,45.06,34.59,63.84,2.35
Gushikawa,40,JP,1530324780,83,26.35,127.87,84.2,17.22
Oskaloosa,1,US,1530323640,55,39.22,-95.31,91.4,10.29
Avera,1,US,1530323700,94,33.19,-82.53,80.6,3.69
Sainte-Marie,75,CA,1530324000,88,46.45,-71.03,68.0,10.29
Kangaba,8,ML,1530326013,99,11.94,-8.41,69.51,7.49
Tromso,75,NO,1530323400,87,69.65,18.96,42.8,13.87
Rawson,44,AR,1530326016,48,-43.3,-65.11,53.94,10.51
Nushki,8,PK,1530326017,53,29.55,66.02,76.26,6.6
Todos Santos,5,MX,1530323100,69,23.45,-110.23,87.8,13.87
Onega,92,RU,1530326019,100,63.91,38.09,49.08,21.25
Predeal,80,RO,1530326020,100,45.5,25.58,54.39,2.13
Oga,64,NG,1530326022,94,8.18,5.65,73.02,6.82
Marawi,68,PH,1530326023,85,8.0,124.29,77.61,3.13
Kisangani,88,CD,1530326024,100,0.52,25.21,69.24,1.45
Batagay-Alyta,12,RU,1530326025,49,67.8,130.41,66.0,4.7
Teahupoo,20,PF,1530324000,62,-17.83,-149.27,84.2,11.41
Huanuni,0,BO,1530326027,79,-18.29,-66.83,26.49,2.35
Solnechnyy,92,RU,1530326029,87,50.72,136.64,69.6,4.03
Zavyalovo,75,RU,1530324000,77,54.51,82.45,68.0,8.95
Dickinson,20,US,1530323760,93,46.88,-102.79,60.8,5.82
Luangwa,0,MZ,1530326032,90,-15.62,30.4,51.51,4.36
Miguel Hidalgo,75,MX,1530323400,52,19.41,-99.19,64.4,6.93
Xapuri,0,BR,1530326034,80,-10.65,-68.5,74.46,1.23
Sao Domingos,0,BR,1530326035,61,-13.4,-46.32,62.85,7.83
Pakhtakoron,0,UZ,1530326037,26,40.16,68.75,87.24,3.8
Verkhoyansk,48,RU,1530326038,48,67.55,133.39,64.47,3.36
Venissieux,0,FR,1530324000,68,45.7,4.87,68.0,3.36
Kasongo-Lunda,0,CD,1530326040,79,-6.48,16.82,65.1,2.35
Leshukonskoye,44,RU,1530326041,58,64.9,45.76,68.79,7.27
Dmitriyevka,36,GE,1530326043,100,43.08,41.0,64.56,0.56
Taywarah,0,AF,1530326044,34,33.35,64.42,62.94,2.91
Kiunga,32,PG,1530326045,81,-6.12,141.3,82.29,2.91
Newport,0,GB,1530325200,87,51.59,-3.0,62.6,10.29
Mariental,0,DE,1530326049,50,52.28,10.99,57.63,9.95
Damaturu,92,NG,1530326051,97,11.75,11.96,69.96,12.3
Grenaa,0,DK,1530325200,93,56.42,10.88,50.0,2.24
Champerico,20,MX,1530323100,69,16.38,-93.6,80.6,12.75
Dunedin,0,NZ,1530325877,84,-45.87,170.5,45.48,3.8
Krasnyy Chikoy,36,RU,1530326057,58,50.36,108.75,73.2,2.91
Emba,80,CY,1530325800,73,34.81,32.42,75.2,3.36
Porto Belo,75,BR,1530325200,93,-27.15,-48.54,66.2,4.7
Listvyanka,0,RU,1530324000,77,51.86,104.86,68.0,6.71
Hopkinsville,1,US,1530323760,74,36.87,-87.49,82.4,5.82
Tilichiki,64,RU,1530326064,74,60.47,166.1,58.62,8.16
Henties Bay,20,NA,1530326065,100,-22.12,14.28,51.78,3.8
Tazovskiy,0,RU,1530326066,79,67.47,78.7,56.73,5.26
Necochea,0,AR,1530325837,97,-38.55,-58.74,46.02,9.4
Tyssedal,0,NO,1530326069,72,60.12,6.56,39.27,1.9
Saint Andrews,0,NZ,1530326071,92,-44.53,171.19,43.14,3.69
Poum,75,MK,1530324000,87,41.28,20.71,59.0,2.24
San Quintin,90,PH,1530324000,100,17.54,120.52,77.0,6.93
Hirado,75,JP,1530324000,88,33.32,129.49,77.0,6.93
Pitimbu,0,BR,1530324000,88,-7.47,-34.81,69.8,5.82
General Salgado,8,BR,1530326077,62,-20.65,-50.36,66.9,2.91
Pemba,75,MZ,1530324000,94,-12.97,40.52,69.8,10.29
Okhotsk,76,RU,1530326081,94,59.36,143.24,49.89,4.25
Constantine,20,DZ,1530322200,23,36.36,6.61,77.0,2.24
San Juan de la Maguana,68,DO,1530326083,89,18.81,-71.23,68.25,2.57
Nara,75,JP,1530324000,59,34.68,135.8,89.6,5.82
Silver City,90,US,1530324900,88,32.77,-108.28,62.6,9.17
Isfana,0,KG,1530324000,32,39.84,69.53,80.6,2.24
Uyuni,0,BO,1530326089,63,-20.46,-66.82,20.55,2.91
Otradnoye,75,RU,1530324000,66,59.77,30.8,51.8,15.66
Hefei,75,CN,1530324000,83,31.82,117.22,82.4,4.47
Havelock,20,US,1530325440,100,34.88,-76.9,82.4,3.36
Hays,1,US,1530323760,48,38.88,-99.33,89.6,16.11
Kalmunai,76,LK,1530326095,89,7.42,81.82,80.31,4.03
Mapiri,0,BO,1530326096,90,-15.31,-68.22,41.88,2.35
Hovd,90,NO,1530325200,87,63.83,10.7,46.4,3.36
Dali,92,CN,1530326098,92,25.6,100.24,66.54,2.13
Waipawa,24,NZ,1530326099,67,-39.94,176.59,49.8,8.84
Manta,68,RO,1530326100,92,45.1,24.1,55.2,2.68
Qujing,32,CN,1530326101,70,25.49,103.8,75.18,8.72
Vermillion,1,US,1530324900,83,42.78,-96.93,84.2,13.87
Evensk,48,RU,1530326104,85,61.92,159.24,51.78,5.93
Gallup,1,US,1530323580,12,35.53,-108.74,82.4,16.11
Shenjiamen,80,CN,1530326106,95,29.96,122.3,79.14,16.55
Bafoulabe,68,ML,1530326107,99,13.81,-10.83,72.21,5.26
Bilibino,92,RU,1530326108,89,68.06,166.44,38.28,4.7
Kavaratti,76,IN,1530326109,100,10.57,72.64,81.12,16.22
Karera,0,IN,1530326111,92,25.46,78.13,79.32,10.96
Litija,75,SI,1530324000,88,46.06,14.83,62.6,3.36
Toba Tek Singh,92,PK,1530326114,100,30.98,72.49,75.72,8.61
Boyuibe,0,BO,1530326116,93,-20.43,-63.28,60.42,7.38
General Roca,0,AR,1530324000,44,-39.03,-67.58,60.8,6.93
Paulo Ramos,32,BR,1530326120,82,-4.45,-45.24,71.58,2.8
San Vicente,20,SV,1530323400,83,13.64,-88.78,82.4,1.12
Barmer,48,IN,1530326123,89,25.74,71.4,79.68,7.61
Inhambane,0,MZ,1530326125,100,-23.87,35.38,64.74,6.71
Rio Gallegos,40,AR,1530324000,100,-51.62,-69.22,32.0,18.34
Anchorage,90,US,1530323760,51,61.22,-149.89,64.4,17.22
Lao Cai,64,VN,1530326128,90,22.48,103.95,73.11,2.13
Pizarro,76,CO,1530326130,100,4.95,-77.37,74.55,3.24
Haines Junction,36,CA,1530326131,43,60.75,-137.51,53.76,4.59
Chuy,92,UY,1530326134,94,-33.69,-53.46,59.07,4.7
Ejido,75,VE,1530324000,93,8.55,-71.24,64.4,1.34
Vaasa,0,FI,1530325200,66,63.1,21.62,50.0,12.75
La Libertad,0,PE,1530324000,23,-16.38,-71.56,51.8,4.7
Tuckahoe,1,US,1530324900,88,37.59,-77.56,78.8,2.46
Svetlogorsk,90,RU,1530324000,82,53.14,59.15,64.4,8.95
